OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREDATE,CAPTUREACTION,DISSOLVE,SHAPEAREA,SHAPELEN
22782,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,348.232506640625,78.7035384975171
22783,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,322.124966796875,78.0751397987283
22784,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,175.283987890625,54.2870705863765
22785,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,193.900654492187,56.9854209169945
22786,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,234.065936328125,62.5818251922244
22787,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,311.196308203125,73.4294248314179
22788,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,197.971221484375,57.2333270169104
22789,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,671.221078710937,117.569109427832
22790,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,251.736580273438,69.7407958663604
22791,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,329.551305273437,76.3968274970072
22792,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,189.245468359375,55.0541585581311
22793,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,136.971234179688,46.5845385289035
22794,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,456.18810390625,89.0367356335068
22795,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,326.845997265625,71.8102655908154
22796,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,198.138301171875,58.8162619273092
22797,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,269.004803515625,70.1447341205568
22798,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,391.607194921875,82.8147350263019
22799,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,259.85018984375,66.5781205507936
22800,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,347.955592382813,73.0344968801351
22801,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,142.051640039062,47.4544789605489
22802,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,184.634843554688,54.8101488246505
22803,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,451.984118945312,86.0696873866704
22804,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,399.97680546875,79.8126408869368
22805,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,147.592223828125,48.0483922381763
22806,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,493.68523203125,112.61678774847
22807,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,201.424590429688,57.8569552876869
22808,,1065,Paved Drive,2015-04-24T00:00:00.000Z,A,1,355.595208203125,200.659960720663
22809,,1065,Paved Drive,2015-04-24T00:00:00.000Z,A,1,420.4803171875,114.59725373771
22810,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,1307.31691308594,463.476746003025
22811,,1070,Parking Lot,2015-04-24T00:00:00.000Z,A,2,148.865007421875,53.8693308936296
22812,,1050,Road,2015-04-24T00:00:00.000Z,A,1,172.942831640625,59.0059190362239
22813,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,152.349411523438,111.777345478798
22814,,1065,Paved Drive,2015-04-24T00:00:00.000Z,A,1,191.099781445313,105.029283335311
22815,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,769.119805859375,346.137689985223
22816,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,493.546841601562,266.982001638808
22817,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,240.05306796875,124.531005578949
22818,,1065,Paved Drive,2015-04-24T00:00:00.000Z,A,1,696.91959296875,291.298214982008
22819,,1065,Paved Drive,2015-04-24T00:00:00.000Z,A,1,584.139904101562,254.995812477394
22820,,1056,Paved Traffic Island,2015-04-24T00:00:00.000Z,A,,2.39551796875,6.12113162067344
22821,,1058,Unpaved Median Island,2015-04-24T00:00:00.000Z,A,,67.2401234375,29.1500612592483
22822,,1070,Parking Lot,2015-04-24T00:00:00.000Z,A,2,277.161848242188,134.718476320121
22823,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,303.579577929688,178.133159449739
22824,,1060,Alley,2015-04-24T00:00:00.000Z,A,1,1091.65288535156,515.46294875071
22825,,1065,Paved Drive,2015-04-24T00:00:00.000Z,A,1,147.873631054688,70.6060969683734
22826,,1056,Paved Traffic Island,2015-04-24T00:00:00.000Z,A,,18.9245294921875,18.0582216099572
22827,,1070,Parking Lot,2015-04-24T00:00:00.000Z,A,2,122.249051953125,58.5249269205155
22828,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,201.197574023438,62.791167676005
22829,,1070,Parking Lot,2015-04-24T00:00:00.000Z,A,2,149.834840820313,48.9557547246932
22830,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,112.32017265625,85.4155168746978
22831,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,162.943623242187,58.3543751124772
22832,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,190.111826757813,63.959544050737
22833,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,124.396705078125,48.4582218477957
22834,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,131.420655273437,45.9242350270758
22835,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,128.599162695312,45.4232914221249
22836,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,17.972598046875,26.1720754030178
22837,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,164.865710546875,60.531220958636
22838,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,68.417408203125,46.6637712079456
22839,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,115.98279375,51.6704754759646
22840,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,123.252497460938,52.7396605783939
22841,,1070,Parking Lot,2015-04-24T00:00:00.000Z,A,2,181.088538867188,65.5056171476666
22842,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,238.572116601562,78.0113532591677
22843,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,455.242401757813,91.9905540046094
22844,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,226.690549804687,65.2362087600468
22845,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,231.10534296875,65.5578169089267
22846,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,55.3901609375,49.996818377154
22847,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,27.814444921875,27.1166898030581
22848,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,158.802518359375,57.6280595189638
22849,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,127.42053203125,54.8017035657217
22850,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,182.112138476563,55.9967199173818
22851,,1050,Road,2015-04-24T00:00:00.000Z,A,1,2196.78568984375,686.328209388361
22852,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,953.541013671875,237.777132085662
22853,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,404.16936875,81.0251305828111
22854,,1050,Road,2015-04-24T00:00:00.000Z,A,1,1029.68185058594,299.476228185263
22855,,1050,Road,2015-04-24T00:00:00.000Z,A,1,226.462703320313,81.0008784016941
22856,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,205.479389648437,75.4264842419965
22857,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,173.483905664062,65.906142362586
22858,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,178.359094726562,67.4714818183401
22859,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,84.9705388671875,59.3068101811467
22860,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,250.013187304687,68.9335014562307
22861,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,214.1955921875,68.1358390346968
22862,,1050,Road,2015-04-24T00:00:00.000Z,A,1,48.92658203125,27.98064621931
22863,,1050,Road,2015-04-24T00:00:00.000Z,A,1,73.0531216796875,34.8891335990198
